u,v,lon,lat,length,N01,N02,N03,N06,N07,N08,N14,N15,N17,N_YP,N_GC,N_MED,N_WAIT,priority,csvi_E,csvi_S_env,csvi_S_contact,csvi_AC_phys,csvi_AC_social,AC_med_dom,AC_tech_dom,AC_mkt_dom,AC_sport_dom,AC_soc_cul_dom
82515933,82515934,121.44720029999999,31.2109432,67.68338439190906,0.21739130434782608,0.37670491348072915,0.12580844395705618,0.5454306998216347,0.75180775014843,0.7736515783111926,0.14919199837730396,0.7809183413161358,0.06541622136411089,0.2657978973792474,0.3011903836150581,0.0,0.0,0.07788132888503728,0.3290222540650815,0.03929930189460703,0.19650693721757762,0.2995411943008243,0.10291093937799455,0.1894773982482146,0.2379028174184075,0.16979217795822082,0.3417115811789773,0.358593130439203
82515933,82516857,121.44617545,31.2110976,143.5678904301034,0.0,0.37101467515587483,0.03261379123663207,0.0,0.7210280156257737,0.737596764581725,0.022802735968905287,0.7129392181501261,0.07157134895286274,0.2046733803886216,0.27356235146194335,0.0,0.0,0.07272018468986925,0.31032193004974434,0.056255777179684094,0.15660084577388855,0.20820246468250067,0.053652776182245315,0.0798638193811126,0.10027490252760575,0.07156659294515967,0.22680448005366471,0.07278249595665973
82515933,601675009,121.44702670000001,31.21059915,62.00790225477898,0.14492753623188406,0.37670491348072915,0.10335826676706296,0.5454306998216347,0.75180775014843,0.7736515783111926,0.12697010389913557,0.7809183413161358,0.06541622136411089,0.2657978973792474,0.3011903836150581,0.0,0.0,0.07950157303760842,0.3290222540650815,0.03929930189460703,0.19650693721757762,0.2995411943008243,0.0873445787998105,0.16177986484751256,0.20312652593194241,0.1449722017306287,0.31833611201078127,0.2874502894806846
6316067903,82515933,121.4469435,31.210842399999997,14.761252780067446,0.14492753623188406,0.37670491348072915,0.0980380090641128,0.5454306998216347,0.8000264498067775,0.7911477674625745,0.12366569923088844,0.7575082468048876,0.08244311100359221,0.2657978973792474,0.3011903836150581,0.0,0.0,0.09292439021450523,0.3290222540650815,0.05898279060905476,0.20737684387176505,0.20333153529652878,0.08155293057788336,0.13381814960485525,0.16801853470137554,0.1199154900890115,0.2633155213836822,0.23776794397719642
82515934,82515933,121.44720029999999,31.2109432,67.68338439190906,0.21739130434782608,0.37670491348072915,0.12580844395705618,0.5454306998216347,0.75180775014843,0.7736515783111926,0.14919199837730396,0.7809183413161358,0.06541622136411089,0.2657978973792474,0.3011903836150581,0.0,0.0,0.07788132888503728,0.3290222540650815,0.03929930189460703,0.19650693721757762,0.2995411943008243,0.10291093937799455,0.1894773982482146,0.2379028174184075,0.16979217795822082,0.3417115811789773,0.358593130439203
82515934,6316067904,121.4474312,31.21096975,26.187050784659675,0.21739130434782608,0.37670491348072915,0.12653762360309645,0.5454306998216347,0.8000540741188916,0.789923593643705,0.14737482099845708,0.7833563418443094,0.06915905952100244,0.2657978973792474,0.3011903836150581,0.0,0.0,0.08703365781348868,0.3290222540650815,0.04603093103649068,0.20606519863681386,0.1866300798232003,0.09487684839550564,0.15051859075573948,0.18898716757613485,0.13488088597313527,0.2714516143852378,0.28486211626000485
82515934,601675009,121.447361,31.21070345,83.33426348856511,0.21739130434782608,0.37670491348072915,0.12580844395705618,0.5454306998216347,0.75180775014843,0.7736515783111926,0.14919199837730396,0.7809183413161358,0.06541622136411089,0.2657978973792474,0.3011903836150581,0.0,0.0,0.07788132888503728,0.3290222540650815,0.03929930189460703,0.19650693721757762,0.2995411943008243,0.10291093937799455,0.1894773982482146,0.2379028174184075,0.16979217795822082,0.3417115811789773,0.358593130439203
82515934,267671967,121.4484274,31.2116407,215.22735133467933,0.30434782608695654,0.5593109225551322,0.17164119622246252,0.5454306998216347,0.8685319827733082,0.8665574812004787,0.19415255129532621,0.8287351847303523,0.06670887471406216,0.3176197187371848,0.49977305300794517,0.6666666666666666,0.4,0.18258622277415767,0.5645997625253817,0.038790998497344374,0.23776954440746384,0.3506171002352271,0.015515063248828564,0.7662646383318845,0.40805492036388374,0.2912304041079293,0.3718333153328486,0.35589887326043207
82516857,82515933,121.44617545,31.2110976,143.5678904301034,0.0,0.37101467515587483,0.03261379123663207,0.0,0.7210280156257737,0.737596764581725,0.022802735968905287,0.7129392181501261,0.07157134895286274,0.2046733803886216,0.27356235146194335,0.0,0.0,0.07272018468986925,0.31032193004974434,0.056255777179684094,0.15660084577388855,0.20820246468250067,0.053652776182245315,0.0798638193811126,0.10027490252760575,0.07156659294515967,0.22680448005366471,0.07278249595665973
82516857,87781402,121.44545625,31.21136875,6.112337433950095,0.11594202898550725,0.6297282238224315,0.07845676156606644,0.0,0.8532390293057579,0.8342377691235446,0.07065545244389326,0.7909648613754829,0.0918499679994614,0.2227188160541368,0.5329249349928891,0.3333333333333333,0.4,0.1734515335890331,0.5749311570568747,0.06035191804936574,0.17684060240967278,0.17029721100266107,0.0,0.35778439044056887,0.1809813657173709,0.12916711364940522,0.16491628422994242,0.13136163872052928
82516857,82517936,121.4452148,31.2109296,107.9078738658735,0.07246376811594203,0.6297282238224315,0.06192927141591618,0.0,0.7798745095832567,0.8065224429024482,0.05210450511984877,0.7980747775053841,0.12177703024790978,0.2227188160541368,0.5329249349928891,0.0,0.0,0.1203229009004593,0.5169565032176018,0.036165063443537655,0.16280038715093223,0.32694148600181994,0.016060713719725925,0.07920888546379154,0.09945258479686686,0.07097970154138794,0.09062452742994369,0.17917626196917558
82516857,857586380,121.44547225,31.211931649999997,128.0769776691829,0.11594202898550725,0.5005539291820094,0.060432683362704284,0.0,0.8637867204021492,0.7424508761176838,0.050836257118574174,0.6947310966288865,0.12469609695499802,0.20606760515155412,0.4280195638651923,0.3333333333333333,0.4,0.13784385292135096,0.4586691721872182,0.05577708731405436,0.1805026838854345,0.12976411692994103,0.0,0.2398818300118439,0.12134163022798362,0.08660199949275083,0.11057055902016553,0.08807335124573776
601675009,82515933,121.44702670000001,31.21059915,62.00790225477898,0.14492753623188406,0.37670491348072915,0.10335826676706296,0.5454306998216347,0.75180775014843,0.7736515783111926,0.12697010389913557,0.7809183413161358,0.06541622136411089,0.2657978973792474,0.3011903836150581,0.0,0.0,0.07950157303760842,0.3290222540650815,0.03929930189460703,0.19650693721757762,0.2995411943008243,0.0873445787998105,0.16177986484751256,0.20312652593194241,0.1449722017306287,0.31833611201078127,0.2874502894806846
601675009,82515934,121.447361,31.21070345,83.33426348856511,0.21739130434782608,0.37670491348072915,0.12580844395705618,0.5454306998216347,0.75180775014843,0.7736515783111926,0.14919199837730396,0.7809183413161358,0.06541622136411089,0.2657978973792474,0.3011903836150581,0.0,0.0,0.07788132888503728,0.3290222540650815,0.03929930189460703,0.19650693721757762,0.2995411943008243,0.10291093937799455,0.1894773982482146,0.2379028174184075,0.16979217795822082,0.3417115811789773,0.358593130439203
601675009,6316067902,121.44718449999999,31.2104605,22.49041098182087,0.14492753623188406,0.5311197020001353,0.10392604092919121,0.5454306998216347,0.4549401165360628,0.514595574582613,0.1276984113285022,0.6309495565096065,0.11305491843690416,0.27147245310633566,0.43105702341289687,0.0,0.0,0.14554135696283477,0.4630707117890194,0.06386871208063905,0.2194134999479324,0.08958638333479552,0.08178203365873737,0.0981758223626548,0.12326696987794197,0.08797612198538649,0.19318170165296372,0.1744386953517781
