Id,lon,lat,betweenness_raw,harmonic_raw,pagerank_raw,od_composite,trip_starts,trip_ends,edge_out_w,edge_in_w
21,121.43318175555555,31.188125609999993,47.65179798827065,91.99999999999991,0.0036529090492848186,0.29460608122561677,8,2,16,10
85,121.45133973333336,31.201858519999988,59.06545028407889,84.91666666666659,0.0033551073155189616,0.27224781248441826,7,7,8,8
58,121.435318,31.19636536,204.80878866252877,93.74999999999989,0.0046132191489470405,0.32942630601664086,9,7,14,12
73,121.44776343125004,31.19906902468751,183.84243814790352,99.1666666666666,0.006813835036159086,0.3758469498922492,11,11,21,21
44,121.42570500000006,31.19470295421053,130.41074123961377,92.49999999999987,0.003020301286848558,0.2942133074068166,10,8,11,9
66,121.4339447,31.197738650000005,44.01889154757006,82.99999999999994,0.0035751499414991865,0.2690814898295434,1,2,9,10
97,121.43883708125,31.20366096312499,108.45692039314785,94.2499999999999,0.0038560218819011748,0.3096618472786165,6,6,10,10
52,121.42753596666664,31.195449833333342,584.947217600658,93.41666666666659,0.0051871076794955725,0.37443893578005666,10,10,14,14
93,121.43639702142858,31.202545164999993,75.59649584482806,82.41666666666661,0.0027021498326368107,0.2571006224805151,7,6,8,7
115,121.43852236666667,31.20792388833333,86.49685078643039,89.41666666666657,0.0024362064007589987,0.272690669101326,6,4,8,6
208,121.45116652432426,31.193804351081106,276.0833318511084,99.08333333333324,0.006938224743214796,0.3865328590003026,14,14,23,23
140,121.4380646,31.21284485,0,0,0.0010392475940605107,0.004532198451408173,0,1,0,1
111,121.43700341363632,31.206852301818174,195.8485557264261,90.58333333333323,0.005430712256440174,0.33276478395364434,6,11,11,16
155,121.4543634026316,31.215591429999993,623.1366929887727,98.16666666666654,0.00783507943637286,0.43176505705903034,18,15,23,20
23,121.42295839999998,31.189498899999993,51.795773931028975,77.25,0.002972446952288427,0.24520385379214396,3,5,6,8
117,121.444931,31.20735168,0.3110599078341013,66.70000000000009,0.0011638173533906537,0.18411907230028954,1,1,1,1
145,121.4366913,31.214218140000003,19.13346022416078,75.58333333333333,0.00156775284699866,0.21585740893379393,2,1,4,3
94,121.4421844,31.20323181,25.693414634127016,78.69999999999997,0.002914797845308711,0.2456314405079771,2,6,4,8
41,121.42845149999997,31.192760463749998,48.93762242009983,79.08333333333329,0.0025482605556499264,0.2432468659689717,3,2,6,5
174,121.4298248,31.19224548,15.092246446688026,69.50000000000006,0.002287638863349883,0.21039784428568287,2,5,2,5
191,121.42682852727275,31.186752319999997,30.166725006229402,87.33333333333323,0.00189380879993544,0.25326680046798106,7,2,9,4
40,121.42170994545451,31.191870946363633,63.01225774380664,84.91666666666659,0.002567953630458819,0.2604571154231638,4,4,7,7
71,121.45234681999997,31.199111939999984,389.31587933803723,98.49999999999989,0.008812303534372058,0.4249945781959432,12,17,23,28
53,121.4188385,31.19636536000001,33.63587711486335,69.48333333333339,0.0025101975117986074,0.21560189873565494,1,3,4,6
82,121.42395716363636,31.200485230000005,36.784752724378286,74.50000000000001,0.002834510209045258,0.2342847743636565,4,4,7,7
25,121.42626675681818,31.188781043863642,689.9751016922519,104.99999999999991,0.008210291233363745,0.46227628399361165,17,18,26,27
218,121.44679476428573,31.20735167999999,248.974755734567,85.99999999999993,0.0040537576262333576,0.30443540617864223,5,7,7,9
92,121.44401546666676,31.20255721140353,1243.1509512073444,110.6666666666666,0.013129146045981659,0.607325374939644,17,20,37,40
59,121.42749435151511,31.19694796787879,720.6563697942698,100.4999999999999,0.005842035935781411,0.41665010123727875,16,11,22,17
120,121.44577610769231,31.209358806153848,95.71737663956738,86.24999999999989,0.003107433198672627,0.27553753842349354,5,5,8,8
74,121.44218439999999,31.20048523,98.23568444195631,83.33333333333331,0.0023234328415725797,0.25588906367487824,4,2,7,5
190,121.43365558421053,31.182415614736854,63.42690846735695,84.24999999999993,0.003583422758793955,0.2744286003329783,10,9,10,9
60,121.43257140000003,31.19773865000001,275.4200281561057,91.91666666666654,0.006042435843912158,0.3535272057080294,8,12,13,17
19,121.45008087499997,31.186695099583336,96.08495216692549,87.16666666666657,0.00499594567199613,0.3072246142113941,9,11,13,15
194,121.43735048399996,31.1957061808,192.84596702069408,94.08333333333323,0.005724659636418032,0.34633980636815104,8,12,13,17
129,121.44851138928576,31.210000177857133,334.1636589320971,94.58333333333326,0.00662369201001576,0.3753406586359769,11,15,13,17
142,121.45115662666664,31.213394166000008,174.63346411812563,91.41666666666656,0.0033760597892977446,0.3011379737563629,6,3,12,9
26,121.44340923513512,31.188385421621625,325.10789402516576,97.33333333333321,0.006992215074902565,0.3874822710672792,14,13,24,23
