u,v,lon,lat,length,N01,N02,N03,N06,N07,N08,N14,N15,N17,N_YP,N_GC,N_MED,N_WAIT,priority,csvi_E,csvi_S_env,csvi_S_contact,csvi_AC_phys,csvi_AC_social
3559962073,146016733,121.47514425,31.194443200000002,33.08796804060206,0.0,0.3441194622950301,0.01321278599322171,0.7942947389201461,0.40433592105270344,0.46976102505994866,0.056500121452558914,0.6569958588520661,0.09836209843656384,0.3193882544047201,0.10853950084007775,0.0,0.0,0.1211233650328348,0.2871971469526254,0.07913129835756795,0.26038919785378695,0.00023971404877571085,0.0
467035970,62901934,121.47232725,31.199117450000003,100.84565917456433,0.0,0.1253866537043886,0.021922947856242804,0.3141348336788076,0.3115421544572242,0.4017077636873211,0.03524710180327517,0.5801877268933155,0.18229414532272328,0.3789384320682827,0.045133069621520916,0.0,0.0,0.05310111520526769,0.10674234846841103,0.08133593513712693,0.3191479807783857,0.009872989778288455,0.0
467035970,71055357,121.47205740000001,31.1994002,28.56779242209544,0.0,0.1253866537043886,0.021922947856242804,0.3141348336788076,0.3115421544572242,0.4017077636873211,0.03524710180327517,0.5801877268933155,0.16011156279299635,0.3789384320682827,0.045133069621520916,0.0,0.0,0.05310111520526769,0.10674234846841103,0.08133593513712693,0.3191479807783857,0.009872989778288455,0.0
467035970,467035969,121.47218255,31.199531800000003,9.316729024069824,0.0,0.1253866537043886,0.021922947856242804,0.3141348336788076,0.3115421544572242,0.4017077636873211,0.03524710180327517,0.5801877268933155,0.18229414532272328,0.3789384320682827,0.045133069621520916,0.0,0.0,0.05310111520526769,0.10674234846841103,0.08133593513712693,0.3191479807783857,0.009872989778288455,0.0
86784826,62901934,121.4732466,31.1977919,260.5321686011465,0.0,0.37413733698336765,0.023846430602304763,0.3141348336788076,0.17046544752884427,0.2924343740612209,0.03669198122267145,0.5274919355920752,0.15039449767972404,0.40552026373578076,0.18432645983781526,0.0,0.0,0.1582278782766361,0.31305823673391087,0.06828317310361362,0.33860593089016305,0.004387901078227037,0.0
86784826,86784820,121.47317555000001,31.197716149999998,254.72130816794933,0.0,0.37413733698336765,0.023846430602304763,0.3141348336788076,0.17046544752884427,0.2924343740612209,0.03669198122267145,0.5274919355920752,0.12821191514999708,0.40552026373578076,0.18432645983781526,0.0,0.0,0.1582278782766361,0.31305823673391087,0.06828317310361362,0.33860593089016305,0.004387901078227037,0.0
86784826,86784828,121.47449245,31.1957107,269.72995401464834,0.0,0.5028359360677204,0.03542217223879965,0.5693909781857664,0.40433592105270344,0.46976102505994866,0.06434530031011743,0.6569958588520661,0.09836209843656384,0.3545106690600161,0.21147693757923475,0.0,0.0,0.18968147323726808,0.41477493158889217,0.07913129835756795,0.2890236177256953,0.00023971404877571085,0.0
62901945,467035969,121.47222095000001,31.19968135,25.325098601015654,0.0,0.1253866537043886,0.021922947856242804,0.3141348336788076,0.3115421544572242,0.4017077636873211,0.03524710180327517,0.5801877268933155,0.16011156279299635,0.3789384320682827,0.045133069621520916,0.0,0.0,0.05310111520526769,0.10674234846841103,0.08133593513712693,0.3191479807783857,0.009872989778288455,0.0
62901945,71055357,121.4720958,31.199549750000003,60.55767437573725,0.0,0.1253866537043886,0.021922947856242804,0.3141348336788076,0.3115421544572242,0.4017077636873211,0.03524710180327517,0.5801877268933155,0.16011156279299635,0.3789384320682827,0.045133069621520916,0.0,0.0,0.05310111520526769,0.10674234846841103,0.08133593513712693,0.3191479807783857,0.009872989778288455,0.0
62901945,62901951,121.47185445,31.2012,322.79165448165827,0.0,0.6581007201690725,0.04705545470990625,0.3153686704175304,0.24835098412416862,0.3396436454864614,0.0585905353612614,0.5296720102380514,0.15070352932415834,0.47509537766786464,0.37829739886421954,0.0,0.0,0.3256476972450269,0.5587972955906723,0.0678245574087585,0.40132564309934765,0.007871222551739434,0.0
